"","Recycled Water Class/Category","Source Water Type","Water Quality Parameter","Specification","Sampling/Monitoring Requirements (Frequency of monitoring; site/ location of sample; quantification methods)*","State"
"35","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Total dissolved solids","mg/L (specific value not required)","Monitored by treaters on a quarterly basis with results submitted to the Colorado Water Quality Control Division through Discharge Monitoring Reports and to all food crop irrigation users. Results can be provided within a larger report (like a Consumer Confidence Report).","Colorado"
"36","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Nickel","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"37","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Arsenic","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"38","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Lead","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"39","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Cadmium","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"40","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Mercury","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"41","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Nitrogen","Irrigation with reclaimed water must occur at or below the agronomic rate for nitrogen (Colorado WQCD, 2007)","Not specified","Colorado"
"42","Category 3 Plus (Irrigation of resident-controlled food crops, edible hemp and non-commercial food crop growing operations)","Domestic wastewater","Phosphorus","Some basins in CO have phosphorus limits. If reclaimed water is used to irrigate in those basins, the phosphorus limits must be considered.","Not specified","Colorado"
"43","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","E. coli","<126 E. coli/100 mL (monthly geometric mean)

			=235 E. coli/100 mL (single sample maximum)","2 samples per 7 days, grab","Colorado"
"44","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","Turbidity","=3 NTU (monthly average)

			5 NTU (cannot exceed in more than 5% of results per month)","1 reading per 12 hours of operation","Colorado"
"45","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","Total dissolved solids","mg/L (specific value not required)","Monitored by treaters on a quarterly basis with results submitted to the Colorado Water Quality Control Division through Discharge Monitoring Reports and to all food crop irrigation users. Results can be provided within a larger report (like a Consumer Confidence Report).","Colorado"
"46","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","Nickel","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"47","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","Arsenic","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"48","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","Lead","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"49","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","Cadmium","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"50","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","Mercury","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"51","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","Nitrogen","Irrigation with reclaimed water must occur at or below the agronomic rate for nitrogen (Colorado WQCD, 2007)","Not specified","Colorado"
"52","Category 2 (Irrigation of non-food crops and non-edible hemp, silviculture and commercial food crop growing operations)","Domestic wastewater","Phosphorus","Some basins in CO have phosphorus limits. If reclaimed water is used to irrigate in those basins, the phosphorus limits must be considered.","Not specified","Colorado"
"53","Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","E. coli","<126 E. coli/100mL (monthly geometric mean)

			=235 E. coli/100 mL (single sample maximum)","1 sample per 7 days, graba","Colorado"
"54","Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","Total suspended solids (TSS)","30 mg/L (daily maximum)","1 sample per 7 days, graba","Colorado"
"55","Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","Nickel","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"56","Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","Arsenic","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"57","Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","Lead","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"58","Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","Cadmium","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"59","Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","Mercury","Not specified","If requested by a user, treaters must provide to its users monitoring data that is less than 12 months old within 60 days of the request. Monitoring should take place at the point of compliance.","Colorado"
"60","Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","Nitrogen","Irrigation with reclaimed water must occur at or below the agronomic rate for nitrogen (Colorado WQCD, 2007)","Not specified","Colorado"
"61","Category 1 (Irrigation of non-food crops and silviculture and non-edible hemp)","Domestic wastewater","Phosphorus","Some basins in CO have phosphorus limits. If reclaimed water is used to irrigate in those basins, the phosphorus limits must be considered.","Not specified","Colorado"
"62","Spray irrigation, unlimited public access","Municipal and domestic wastewater","Fecal coliform","=20 colonies/100 mL","Daily permissible average concentrations (turbidity should be continuously monitored online)","Delaware"
"63","Spray irrigation, unlimited public access","Municipal and domestic wastewater","5-day biochemical oxygen demand (BOD5)","=10 mg/L","Daily permissible average concentrations (turbidity should be continuously monitored online)","Delaware"
"64","Spray irrigation, unlimited public access","Municipal and domestic wastewater","Turbidity","=5 NTU","Daily permissible average concentrations (turbidity should be continuously monitored online)","Delaware"
"65","Spray irrigation, unlimited public access","Municipal and domestic wastewater","Total suspended solids (TSS)","=10 mg/L","Daily permissible average concentrations (turbidity should be continuously monitored online)","Delaware"
"66","Spray irrigation, unlimited public access","Municipal and domestic wastewater","Chlorine residual (if chlorine used for disinfection)","0.5–4 mg/L chlorine residual","Must be maintained at compliance monitoring point prior to irrigation","Delaware"
"67","Spray irrigation, unlimited public access","Municipal and domestic wastewater","UV disinfection (if UV used for disinfection)","=100 mJ/cm2","UV disinfection must be performed following storage and routine sampling for its effectiveness must be performed at the compliance monitoring point","Delaware"
"68","Spray irrigation, unlimited public access","Municipal and domestic wastewater","Nitrogen","Provided the site suitability evaluation reports do not delineate more stringent requirements, the nitrogen and phosphorus requirements outlined in Exhibit MM in 7 Del. Admin Code § 7101-6.0 apply","Not specified","Delaware"
"69","Spray irrigation, unlimited public access","Municipal and domestic wastewater","Phosphorus","Provided the site suitability evaluation reports do not delineate more stringent requirements, the nitrogen and phosphorus requirements outlined in Exhibit MM in 7 Del. Admin Code § 7101-6.0 apply","Not specified","Delaware"
"70","Spray irrigation, limited public access","Municipal and domestic wastewater","Fecal coliform","=200 colonies/100 mL","Daily permissible average concentrations","Delaware"
"71","Spray irrigation, limited public access","Municipal and domestic wastewater","5-day biochemical oxygen demand biochemical oxygen demand (BOD5)","=50 mg/L","Daily permissible average concentrations","Delaware"
"72","Spray irrigation, limited public access","Municipal and domestic wastewater","Total suspended solids (TSS)","=50 mg/L (mechanical systems)

			=90 mg/L (ponds)","Daily permissible average concentrations","Delaware"
"73","Spray irrigation, limited public access","Municipal and domestic wastewater","Nitrogen","Provided the site suitability evaluation reports do not delineate more stringent requirements, the nitrogen and phosphorus requirements outlined in Exhibit MM in 7 Del. Admin Code § 7101-6.0 apply","Not specified","Delaware"
"74","Spray irrigation, limited public access","Municipal and domestic wastewater","Phosphorus","Provided the site suitability evaluation reports do not delineate more stringent requirements, the nitrogen and phosphorus requirements outlined in Exhibit MM in 7 Del. Admin Code § 7101-6.0 apply","Not specified","Delaware"
"75","Slow-rate Land Application Systems; Restricted Public Access (Application in areas used to grow feed, fodder, fiber or seed crops; Irrigation of sod farms, trees and pastureland)","Domestic wastewater","Total suspended solids (TSS)","=10 mg/L","Not specified","Florida"
"76","Slow-rate Land Application Systems; Restricted Public Access (Application in areas used to grow feed, fodder, fiber or seed crops; Irrigation of sod farms, trees and pastureland)","Domestic wastewater","Fecal coliform","=200 fecal coliform values/100 mL (annual arithmetic mean and monthly geometric mean)","Measured using membrane filtration method or equivalent Most Probable Number (MPN) method. Minimum of 10 samples, each collected on a separate day during a period of 30 consecutive days (monthly)","Florida"
"77","Slow-rate Land Application Systems; Restricted Public Access (Application in areas used to grow feed, fodder, fiber or seed crops; Irrigation of sod farms, trees and pastureland)","Domestic wastewater","pH","6.0–8.5","Not specified","Florida"
"78","Slow-rate Land Application Systems; Restricted Public Access (Application in areas used to grow feed, fodder, fiber or seed crops; Irrigation of sod farms, trees and pastureland)","Domestic wastewater","Total chlorine residual","=0.5 mg/L","After at least 15 minutes contact time at the peak hourly flow","Florida"
"79","Slow-rate Land Application Systems; Restricted Public Access (Application in areas used to grow feed, fodder, fiber or seed crops; Irrigation of sod farms, trees and pastureland)","Domestic wastewater","Nitrogen","Not specified","","Florida"
"80","Slow-rate Land Application Systems; Restricted Public Access (Application in areas used to grow feed, fodder, fiber or seed crops; Irrigation of sod farms, trees and pastureland)","Domestic wastewater","Phosphorus","Not specified","","Florida"
"81","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","Turbidity","Not specified","Continuous monitoring before disinfection","Florida"
"82","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","pH","6.0–8.5","Not specified","Florida"
"83","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","Total suspended solids","=5 mg/L (maximum level before disinfection)","Not specified","Florida"
"84","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","Disinfection byproducts","Not specified","Continuous online monitoring","Florida"
"85","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","Giardia","Not specified","Monitoring once every 2 years at end of disinfection process for treatment plants with capacities =1.0 million gallons per day and once every 5 years at end of disinfection process for treatment plants with capacities =1.0 million gallons per day","Florida"
"86","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","Cryptosporidium","Not specified","Monitoring once every 2 years at end of disinfection process for treatment plants with capacities =1.0 million gallons per day and once every 5 years at end of disinfection process for treatment plants with capacities =1.0 million gallons per day","Florida"
"87","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","Total chlorine residual","=1 mg/L","After at least 15 minutes contact time at the peak hourly flow","Florida"
"88","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","Fecal coliforms","Non-detect (75% of samples over a 30-day period/monthly)

			=25 (single sample maximum)","Not specified","Florida"
"89","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","Nitrogen","Not specified","","Florida"
"90","Slow-rate Land Application Systems; Public Access Areas, Residential Irrigation and Edible Crops (Irrigation of tobacco or citrus, including direct contact; edible crops that will not be peeled, skinned, cooked or thermally processed before consumption using an indirect application method that precludes direct contact with the reclaimed water)","Domestic wastewater","Phosphorus","Not specified","","Florida"
"91","Overland Flow Systems (Irrigation of terraced, sloped, vegetated surfaces, such as sod farms, forests, fodder crops, pasture lands and similar areas)","Domestic wastewater","5-day carbonaceous biochemical oxygen demand (CBOD5)","=40–60 mg/L","Preapplication waste treatment limitation that should be met after disinfection and before discharge.","Florida"
"92","Overland Flow Systems (Irrigation of terraced, sloped, vegetated surfaces, such as sod farms, forests, fodder crops, pasture lands and similar areas)","Domestic wastewater","Total suspended solids","=5 mg/L (maximum level before disinfection)","Not specified","Florida"
"93","Overland Flow Systems (Irrigation of terraced, sloped, vegetated surfaces, such as sod farms, forests, fodder crops, pasture lands and similar areas)","Domestic wastewater","Fecal coliforms","=2,400 fecal coliform values/100 mL","Measured using membrane filtration method or equivalent MPN method. Preapplication waste treatment limitation that should be met after disinfection and before discharge.","Florida"
"94","Overland Flow Systems (Irrigation of terraced, sloped, vegetated surfaces, such as sod farms, forests, fodder crops, pasture lands and similar areas)","Domestic wastewater","Nitrogen","Not specified","","Florida"
"95","Overland Flow Systems (Irrigation of terraced, sloped, vegetated surfaces, such as sod farms, forests, fodder crops, pasture lands and similar areas)","Domestic wastewater","Phosphorus","Not specified","","Florida"
"96","Reclaimed water - Urban water reuse (includes expanded uses related to agriculture)","Domestic wastewater (or combination of domestic and industrial wastewater)","5-day biochemical oxygen demand (BOD5)","=5 mg/L","Weekly monitoring","Georgia"
"97","Reclaimed water - Urban water reuse (includes expanded uses related to agriculture)","Domestic wastewater (or combination of domestic and industrial wastewater)","Total suspended solids (TSS)","=5 mg/L","Weekly monitoring","Georgia"
"98","Reclaimed water - Urban water reuse (includes expanded uses related to agriculture)","Domestic wastewater (or combination of domestic and industrial wastewater)","Turbidity","=3 NTU","Continuous monitoring","Georgia"
"99","Reclaimed water - Urban water reuse (includes expanded uses related to agriculture)","Domestic wastewater (or combination of domestic and industrial wastewater)","Fecal coliform","=23 MPN/100 mL (monthly geometric mean)

			=46 MPN/100 mL (weekly geometric mean)

			100 MPN/100 mL (single sample maximum)","Daily monitoring","Georgia"
"100","Reclaimed water - Urban water reuse (includes expanded uses related to agriculture)","Domestic wastewater (or combination of domestic and industrial wastewater)","pH","6–9","Daily monitoring","Georgia"
"101","Reclaimed water - Urban water reuse (includes expanded uses related to agriculture)","Domestic wastewater (or combination of domestic and industrial wastewater)","Disinfectant residual","Detectable disinfectant residual at the delivery point is strongly recommended","Monitoring for detectable disinfection residual includes such measures as measuring chlorine residual or the inspection, calibration and recording of UV output and transmittance at the delivery point","Georgia"
"102","Reclaimed water - Urban water reuse (includes expanded uses related to agriculture)","Domestic wastewater (or combination of domestic and industrial wastewater)","Nitrogen","Not specified","Not specified","Georgia"
"103","Reclaimed water - Urban water reuse (includes expanded uses related to agriculture)","Domestic wastewater (or combination of domestic and industrial wastewater)","Phosphorus","Not specified","Not specified","Georgia"
"104","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","5-day biochemical oxygen demand (BOD5)","=5 mg/L (recommended target)

			=30 mg/L (monthly composite average for large non-pond systems)

			=60 mg/L (single sample maximum, all systems)","Weekly sampling for systems with average daily flow of =100,000 gallons/day; monthly sampling for <100,000 gallons/day","Hawai'i"
"105","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","Total suspended solids (TSS)","=5 mg/L (recommended target)

			=30 mg/L (monthly composite average for large non-pond systems)

			=60 mg/L (single sample maximum, all systems)","Weekly sampling for systems with average daily flow of =100,000 gallons/day; monthly sampling for <100,000 gallons/day","Hawai'i"
"106","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","Turbidity (for media filtration)","=2 NTU (24-hour average)

			=5 NTU (exception maximum of 72 minutes within a 24-hour period)

			=10 NTU (single sample maximum)","Continuous monitoring both prior to filtration and after filtration but before disinfection","Hawai'i"
"107","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","Turbidity (for membrane filtration)","=0.2 NTU (exception maximum of 72 minutes within a 24-hour period)

			=0.5 NTU (single sample maximum)","Continuous monitoring both prior to filtration and after filtration but before disinfection","Hawai'i"
"108","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","Turbidity (for reverse osmosis)","=0.2 NTU (exception maximum of 72 minutes within a 24-hour period)

			=0.5 NTU (single sample maximum)","Continuous monitoring both prior to filtration and after filtration but before disinfection","Hawai'i"
"109","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","Total chlorine residuala (CT)","=450 mg-min/L at all times

			=90 minutes (modal contact time)

			Equivalent to 5 mg/L residual chlorine at all times","Continuous monitoring","Hawai'i"
"110","R-1 recycled water (All agricultural irrigation via spray, surface drip or subsurface drip irrigation; Agricultural cleaning)","Municipal wastewater","UV disinfectionb (for media filtration)","=100 mJ/cm2 (design dose under maximum daily flow)

			=55% (transmittance at 254 nm)","Not specified","Hawai'i"
